start_time,end_time,id
19-Nov-2008 22:59:25,19-Nov-2008 23:00:00,17
20-Nov-2008 00:14:50,20-Nov-2008 00:15:20,17
20-Nov-2008 00:39:00,20-Nov-2008 00:40:00,16
20-Nov-2008 10:41:50,20-Nov-2008 10:47:00,13
20-Nov-2008 13:11:10,20-Nov-2008 13:22:30,13
20-Nov-2008 17:27:20,20-Nov-2008 17:55:00,15
21-Nov-2008 11:33:30,21-Nov-2008 11:41:20,13
21-Nov-2008 13:42:40,21-Nov-2008 13:47:30,13
21-Nov-2008 14:37:50,21-Nov-2008 14:38:40,17
21-Nov-2008 22:30:20,21-Nov-2008 22:31:40,16
22-Nov-2008 10:21:00,22-Nov-2008 10:26:00,13
22-Nov-2008 12:32:00,22-Nov-2008 12:50:30,13
22-Nov-2008 17:46:10,22-Nov-2008 18:03:00,15
23-Nov-2008 23:14:00,23-Nov-2008 23:15:10,17
24-Nov-2008 07:34:10,24-Nov-2008 07:57:10,13
24-Nov-2008 11:19:30,24-Nov-2008 11:25:00,17
24-Nov-2008 13:10:00,24-Nov-2008 13:15:20,13
24-Nov-2008 16:59:00,24-Nov-2008 17:37:30,15
24-Nov-2008 23:34:50,24-Nov-2008 23:35:20,16
25-Nov-2008 07:14:30,25-Nov-2008 07:16:30,13
25-Nov-2008 17:01:00,25-Nov-2008 17:36:00,15
25-Nov-2008 23:20:20,25-Nov-2008 23:23:00,16
26-Nov-2008 00:19:30,26-Nov-2008 00:19:40,16
26-Nov-2008 21:51:10,26-Nov-2008 21:52:00,16
26-Nov-2008 23:38:50,26-Nov-2008 23:39:30,16
27-Nov-2008 07:14:00,27-Nov-2008 07:17:15,13
27-Nov-2008 17:18:30,27-Nov-2008 17:45:50,15
27-Nov-2008 22:41:55,27-Nov-2008 22:42:25,16
28-Nov-2008 20:01:00,28-Nov-2008 20:09:30,15
28-Nov-2008 22:43:10,28-Nov-2008 22:46:15,17
29-Nov-2008 07:28:10,29-Nov-2008 07:30:35,13
29-Nov-2008 18:03:45,29-Nov-2008 18:20:50,15
30-Nov-2008 09:01:00,30-Nov-2008 09:03:40,13
30-Nov-2008 14:17:45,30-Nov-2008 14:28:15,13
01-Dec-2008 08:32:30,01-Dec-2008 08:52:30,13
01-Dec-2008 17:32:30,01-Dec-2008 18:11:40,15
02-Dec-2008 07:14:40,02-Dec-2008 07:17:20,13
03-Dec-2008 06:20:40,03-Dec-2008 06:21:40,13
03-Dec-2008 17:49:00,03-Dec-2008 18:29:30,15
04-Dec-2008 17:06:50,04-Dec-2008 17:35:30,15
04-Dec-2008 22:46:15,04-Dec-2008 22:47:00,17
05-Dec-2008 16:52:55,05-Dec-2008 17:13:50,15
06-Dec-2008 00:05:30,06-Dec-2008 00:06:50,17
06-Dec-2008 00:08:00,06-Dec-2008 00:10:40,16
06-Dec-2008 08:44:00,06-Dec-2008 08:55:00,13
06-Dec-2008 10:58:30,06-Dec-2008 11:03:00,17
07-Dec-2008 09:42:00,07-Dec-2008 09:42:50,13
07-Dec-2008 21:29:20,07-Dec-2008 21:30:00,17
